Supplier_ID,M1_sr,M2_sr,M3_sr,M4_sr,M5_sr,M6_sr,M1_pi,M2_pi,M3_pi,M4_pi,M5_pi,M6_pi,M1_sw,M2_sw,M3_sw,M4_sw,M5_sw,M6_sw,M1_sqc,M2_sqc,M3_sqc,M4_sqc,M5_sqc,M6_sqc
A_{33},0.41069776807922753,0.2646962233169129,0.5205479452054794,0.38621236269298226,0.438117064869364,0.07728236062263383,0.5857257523152308,0.23716915640841707,0.44566929133858285,0.47246779788061183,0.5693334100487454,0.6642146767285535,0.5754553907817018,0.44999999999999996,0.6784140969162997,0.6889554174281095,0.6934945316296464,0.054184727606774286,0.98023821956717,0.989952865498783,0.6950354609929078,0.9863961261016022,0.9875757195720852,0.9793842925919394
A_{34},0.35668462485107627,0.33087027914614126,0.4305283757338548,0.4765545832576872,0.4437773836722409,0.07728236062263383,0.5860357537341042,0.5823997219248078,0.3968503937007874,0.5463506243253189,0.561822909581386,0.7886461069245779,0.40657845995366815,0.32499999999999996,0.5000000000000001,0.5023985827404117,0.4984352511634288,0.016230959302632537,0.9724360871109954,0.9852889755695822,0.5845997973657548,0.981561326004604,0.9811171359108167,0.9723149012863466
A_{35},0.5728938247176526,0.5358331172759484,0.7299412915851269,0.740007992897791,0.7340849608965965,0.06477260051812324,0.46627360333358164,0.07594885398061801,0.12755905511811014,0.22610742628731717,0.31965904611156015,0.6597892378425686,0.48472674867477905,0.375,0.5440528634361235,0.5842375266028691,0.579301731046944,0.0196271765196383,0.9818644328110464,0.9844867134943186,0.623100303951368,0.9825237365905322,0.9876469549966486,0.9817407563604702
A_{36},0.387048782345222,0.32873563218390806,0.49902152641878617,0.49340427336482806,0.4628471227970672,0.0883653621510141,0.5825489458586881,0.29478386666602474,0.4204724409448822,0.5260530432514644,0.5922494805758737,0.6597892378425686,0.41959154169573926,0.32499999999999996,0.5022026431718063,0.5198125700259241,0.5060546707902882,0.04476200814208164,0.9823930784415837,0.9840121265653609,0.5704154002026344,0.9832790817316185,0.9862944440287756,0.9840972201290011
A_{37},0.3383383597118472,0.2967159277504104,0.35225048923679037,0.457673203918121,0.40635160049468305,0.0883653621510141,0.7675512647981769,0.4533877636187619,0.7889763779527562,0.7690585772846501,0.8139830593573301,0.7676611996031351,0.1348668287302667,0.09999999999999998,0.1387665198237886,0.1600313641928336,0.15082668815331726,-0,0.8781121098831051,0.9154234462151228,0.265450861195542,0.8665499799354035,0.9135637803307929,0.8780563505451101
A_{38},0.3566019899116394,0.2305418719211822,0.3718199608610565,0.3447211919111189,0.3768831139261472,0.3238630025906162,1,0.6075740220347404,1,1,1,1,0.2678469910421073,0.19999999999999996,0.22356828193832595,0.32099888446449376,0.3123245569340019,0.054184727606774286,0.7284162844653833,0.7359861180323666,0.039513677811550164,0.5014791107063947,0.7589363894691074,0.7850139191785698
A_{39},0.18267084656522561,0.18357963875205255,0.25048923679060636,0.2675079775750553,0.22048048015893335,0.07728236062263383,0.5050732968548328,0.05823492314135914,0.1622047244094487,0.2506463385633313,0.36037730766282194,0.6597892378425686,0.49435418730742126,0.375,0.5616740088105727,0.5798746225066711,0.5809740804530668,0.054184727606774286,0.9252090604497177,0.9567527486605274,0.4609929078014185,0.9381316341851763,0.9541560598175294,0.9204726983786666
A_{40},0.388365484809162,0.3436781609195403,0.4677103718199606,0.5008267360992509,0.47404131069013333,0.0883653621510141,0.42100448787886224,0.42417762182839036,0.30393700787401573,0.39506244866762713,0.43703166579152397,0.6248227532480972,0.3183357936809298,0.2250000000000001,0.277533039647577,0.35726690535014655,0.3572387398146367,0.09679224943697613,0.9842363963495715,0.9917324331113565,0.7092198581560284,0.9890975174543707,0.9895261807493213,0.9840972201290011
A_{41},0.3821951759894002,0.3351395730706076,0.44814090019569447,0.4990376940898847,0.46235158726005104,0.0883653621510141,0.8224644836907584,0.48968050355894355,0.6330708661417324,0.7678944358404138,0.7819747770996509,0.9160536691821383,0.19535407200891028,0.12499999999999989,0.1960352422907488,0.1783670762559247,0.19956658821022474,0.016230959302632537,0.8937878623150803,0.8148873941908468,0.22391084093211758,0.7348470036587811,0.9126373108933526,0.9039774519989502
A_{42},0.659041392423615,0.6697044334975369,0.6262230919765164,0.7642720590708809,0.7212642640874134,0.545290981228345,0.9279315200028336,0.5107808135625438,0.8677165354330709,0.8792508193252416,0.8886742498626734,0.9972229883880173,0.6769158685263796,0.65,0.6960352422907491,0.7445617641076695,0.730491523254099,0.5299265049737872,0.9158732055651979,0.9522091558464549,0.4569402228976698,0.9287875669546208,0.9486119572457394,0.911046843304543
